Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
R,0.000215,0.999572,33
H,0.000216,0.999570,61
M,0.000216,0.999570,30
Q,0.000216,0.999570,222
R,0.000216,0.999570,28
H,0.000217,0.999568,65
M,0.000217,0.999568,27
Q,0.000217,0.999568,191
R,0.000217,0.999568,47
H,0.000218,0.999567,92
M,0.000218,0.999567,43
Q,0.000218,0.999567,219
R,0.000218,0.999567,35
H,0.000219,0.999564,59
M,0.000219,0.999564,23
Q,0.000219,0.999564,129
R,0.000219,0.999564,26
H,0.000220,0.999562,57
M,0.000220,0.999562,26
Q,0.000220,0.999562,186
R,0.000220,0.999562,33
H,0.000221,0.999561,67
M,0.000221,0.999561,23
Q,0.000221,0.999561,175
R,0.000221,0.999561,35
H,0.000222,0.999558,63
M,0.000222,0.999558,29
Q,0.000222,0.999558,173
R,0.000222,0.999558,32
H,0.000223,0.999556,78
M,0.000223,0.999556,30
Q,0.000223,0.999556,213
R,0.000223,0.999556,32
H,0.000224,0.999554,72
M,0.000224,0.999554,27
Q,0.000224,0.999554,281
R,0.000224,0.999554,26
H,0.000225,0.999552,66
M,0.000225,0.999552,33
Q,0.000225,0.999552,229
R,0.000225,0.999552,33
H,0.000226,0.999550,69
M,0.000226,0.999550,26
Q,0.000226,0.999550,173
R,0.000226,0.999550,50
H,0.000227,0.999548,71
M,0.000227,0.999548,27
Q,0.000227,0.999548,196
R,0.000227,0.999548,44
H,0.000228,0.999546,76
M,0.000228,0.999546,25
Q,0.000228,0.999546,198
R,0.000228,0.999546,27
H,0.000229,0.999544,66
M,0.000229,0.999544,24
Q,0.000229,0.999544,73
R,0.000229,0.999544,33
H,0.000230,0.999542,57
M,0.000230,0.999542,25
Q,0.000230,0.999542,186
R,0.000230,0.999542,34
H,0.000231,0.999540,59
M,0.000231,0.999540,22
Q,0.000231,0.999540,201
R,0.000231,0.999540,30
H,0.000232,0.999539,61
M,0.000232,0.999539,27
Q,0.000232,0.999539,172
R,0.000232,0.999539,31
H,0.000233,0.999536,64
M,0.000233,0.999536,26
Q,0.000233,0.999536,206
R,0.000233,0.999536,28
H,0.000234,0.999534,67
M,0.000234,0.999534,21
Q,0.000234,0.999534,113
R,0.000234,0.999534,31
H,0.000235,0.999532,77
M,0.000235,0.999532,22
Q,0.000235,0.999532,118
R,0.000235,0.999532,35
H,0.000236,0.999530,76
M,0.000236,0.999530,25
Q,0.000236,0.999530,141
R,0.000236,0.999530,30
H,0.000237,0.999528,68
M,0.000237,0.999528,27
Q,0.000237,0.999528,156
R,0.000237,0.999528,35
H,0.000238,0.999526,68
M,0.000238,0.999526,26
Q,0.000238,0.999526,129
R,0.000238,0.999526,30
H,0.000239,0.999525,66
M,0.000239,0.999525,27
Q,0.000239,0.999525,340
R,0.000239,0.999525,33
H,0.000240,0.999522,65
M,0.000240,0.999522,27
Q,0.000240,0.999522,105
R,0.000240,0.999522,38
H,0.000241,0.999521,61
